"File","LineNumber","Line"
"package-lock.json","2707","""license"": ""BSD-3-Clause"","
"package-lock.json","2841","""caniuse-lite"": ""^1.0.30001751"","
"package-lock.json","2903","""node_modules/caniuse-lite"": {"
"package-lock.json","2905","""resolved"": ""https://registry.npmjs.org/caniuse-lite/-/caniuse-lite-1.0.30001751.tgz"","
"package-lock.json","2914","""url"": ""https://tidelift.com/funding/github/npm/caniuse-lite"""
"package-lock.json","3282","""license"": ""BSD-2-Clause"","
"package-lock.json","3325","""license"": ""BSD-2-Clause"","
"package-lock.json","3420","""license"": ""BSD-3-Clause"""
"package-lock.json","3716","""deprecated"": ""This module is not supported, and leaks memory. Do not use it. Check out lru-cache if you want a good and tested way to coalesce async requests by a key value, which is much more comprehensive and powerful."","
"package-lock.json","3800","""license"": ""BSD-3-Clause"","
"package-lock.json","3810","""license"": ""BSD-3-Clause"","
"package-lock.json","3827","""license"": ""BSD-3-Clause"","
"package-lock.json","3842","""license"": ""BSD-3-Clause"","
"package-lock.json","3857","""license"": ""BSD-3-Clause"","
"package-lock.json","4633","""integrity"": ""sha512-t7j+NzmgnQzTAYXcsHYLgimltOV1MXHtlOWf6GjL9Kj8GK5FInw5JotxvbOs+IvV1/Dzo04/fCGfLVs7aXb4Ag=="","
"package-lock.json","4675","""license"": ""BSD-3-Clause"","
"package-lock.json","4820","""caniuse-lite"": ""^1.0.30001579"","
"package-lock.json","5431","""license"": ""BSD-3-Clause"","
"package-lock.json","5439","""integrity"": ""sha512-UXWMKhLOwVKb728IUtQPXxfYU+usdybtUrK/8uGE8CQMvrhOpwvzDBwj0QhSL7MQc7vIsISBG8VQ8+IDQxpfQA=="","
"package-lock.json","5440","""license"": ""BSD-3-Clause"","
"package-lock.json","5461","""license"": ""BSD-3-Clause"""
"package-lock.json","5815","""license"": ""BSD-3-Clause"""
"package-lock.json","5835","""license"": ""BSD-3-Clause"","
"package-lock.json","5970","""license"": ""BSD-2-Clause"","
"package-lock.json","6095","""license"": ""BSD-2-Clause"","
"playwright.config.ts","11","reuseExistingServer: !process.env.CI,"
"playwright.config.ts","14","use: {"
"playwright.config.ts","24","use: { ...devices['Desktop Chrome'] },"
"playwright.config.ts","28","use: { ...devices['Desktop Firefox'] },"
"playwright.config.ts","32","use: { ...devices['Desktop Safari'] },"
"scripts\release-check.js","49","const isTestMode = (process.env.TEST_MODE || '').toLowerCase() === 'true';"
"scripts\release-check.js","57","fail('NEXT_PUBLIC_BASE_URL is not HTTPS', 'Use https:// in production CI (avoid http:// or file://)');"
"scripts\release-check.js","59","fail('NEXT_PUBLIC_BASE_URL points to localhost in production CI', 'Use your deployed HTTPS URL in CI');"
"tsconfig.json","9","""allowJs"": false,"
